
2024/10/03 (13:40:28) | ===> btop++ v.1.4.0
2024/10/03 (13:40:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (13:40:34) | ===> btop++ v.1.4.0
2024/10/03 (13:40:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (18:10:00) | ===> btop++ v.1.4.0
2024/10/04 (18:10:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:35:48) | ===> btop++ v.1.4.0
2024/10/05 (10:35:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:38:38) | ===> btop++ v.1.4.0
2024/10/05 (10:38:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:38:56) | ===> btop++ v.1.4.0
2024/10/05 (10:38:56) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/05 (10:39:32) | ===> btop++ v.1.4.0
2024/10/05 (10:39:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:39:41) | ===> btop++ v.1.4.0
2024/10/05 (10:39:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:40:07) | ===> btop++ v.1.4.0
2024/10/05 (10:40:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:40:13) | ===> btop++ v.1.4.0
2024/10/05 (10:40:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:40:18) | ===> btop++ v.1.4.0
2024/10/05 (10:40:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:40:30) | ===> btop++ v.1.4.0
2024/10/05 (10:40:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (11:52:09) | ===> btop++ v.1.4.0
2024/10/05 (11:52:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (12:18:27) | ===> btop++ v.1.4.0
2024/10/05 (12:18:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (19:50:17) | ===> btop++ v.1.4.0
2024/10/05 (19:50:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:45:23) | ===> btop++ v.1.4.0
2024/10/06 (18:45:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (11:50:31) | ===> btop++ v.1.4.0
2024/10/10 (11:50:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (10:35:28) | ===> btop++ v.1.4.0
2024/10/15 (10:35:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (13:14:37) | ===> btop++ v.1.4.0
2024/10/21 (13:14:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (09:41:56) | ===> btop++ v.1.4.0
2024/10/23 (09:41:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (16:58:12) | ===> btop++ v.1.4.0
2024/10/24 (16:58:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (14:53:34) | ===> btop++ v.1.4.0
2024/11/04 (14:53:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (10:30:19) | ===> btop++ v.1.4.0
2024/11/13 (10:30:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (10:36:38) | ===> btop++ v.1.4.0
2024/11/13 (10:36:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (11:31:58) | ===> btop++ v.1.4.0
2024/11/13 (11:31:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (20:03:01) | ===> btop++ v.1.4.0
2024/11/17 (20:03:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (20:27:08) | ===> btop++ v.1.4.0
2024/11/17 (20:27:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (08:45:28) | ===> btop++ v.1.4.0
2024/11/18 (08:45:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (08:45:35) | ===> btop++ v.1.4.0
2024/11/18 (08:45:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (11:20:51) | ===> btop++ v.1.4.0
2024/11/18 (11:20:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (11:04:29) | ===> btop++ v.1.4.0
2024/11/19 (11:04:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (10:21:03) | ===> btop++ v.1.4.0
2024/11/20 (10:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (12:28:22) | ===> btop++ v.1.4.0
2024/11/20 (12:28:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (12:42:34) | ===> btop++ v.1.4.0
2024/11/21 (12:42:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (12:53:01) | ===> btop++ v.1.4.0
2024/11/21 (12:53:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (11:58:27) | ===> btop++ v.1.4.0
2024/11/25 (11:58:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (09:41:20) | ===> btop++ v.1.4.0
2024/11/26 (09:41:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (10:00:14) | ===> btop++ v.1.4.0
2024/11/27 (10:00:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (09:47:36) | ===> btop++ v.1.4.0
2024/11/28 (09:47:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (19:44:44) | ===> btop++ v.1.4.0
2024/11/29 (19:44:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (08:50:01) | ===> btop++ v.1.4.0
2024/12/09 (08:50:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (11:27:36) | ===> btop++ v.1.4.0
2024/12/10 (11:27:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (11:28:22) | ===> btop++ v.1.4.0
2024/12/10 (11:28:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (15:36:01) | ===> btop++ v.1.4.0
2024/12/10 (15:36:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (20:15:00) | ===> btop++ v.1.4.0
2024/12/11 (20:15:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (20:20:20) | ===> btop++ v.1.4.0
2024/12/11 (20:20:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (12:49:07) | ===> btop++ v.1.4.0
2024/12/12 (12:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (19:17:49) | ===> btop++ v.1.4.0
2024/12/30 (19:17:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (18:43:55) | ===> btop++ v.1.4.0
2024/12/31 (18:43:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (10:46:09) | ===> btop++ v.1.4.0
2025/01/01 (10:46:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (11:02:00) | ===> btop++ v.1.4.0
2025/01/06 (11:02:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (09:58:51) | ===> btop++ v.1.4.0
2025/01/07 (09:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (09:59:04) | ===> btop++ v.1.4.0
2025/01/07 (09:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (13:27:01) | ===> btop++ v.1.4.0
2025/01/07 (13:27:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (13:27:37) | ===> btop++ v.1.4.0
2025/01/07 (13:27:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (14:22:45) | ===> btop++ v.1.4.0
2025/01/08 (14:22:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (18:04:31) | ===> btop++ v.1.4.0
2025/01/08 (18:04:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:14:36) | ===> btop++ v.1.4.0
2025/01/08 (19:14:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (17:53:14) | ===> btop++ v.1.4.0
2025/01/09 (17:53:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (16:57:29) | ===> btop++ v.1.4.0
2025/01/11 (16:57:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (12:22:03) | ===> btop++ v.1.4.0
2025/01/12 (12:22:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:34) | ===> btop++ v.1.4.0
2025/01/12 (14:05:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:36) | ===> btop++ v.1.4.0
2025/01/12 (14:05:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:55) | ===> btop++ v.1.4.0
2025/01/12 (14:05:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:07:07) | ===> btop++ v.1.4.0
2025/01/12 (14:07:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (09:31:59) | ===> btop++ v.1.4.0
2025/01/14 (09:31:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (09:56:50) | ===> btop++ v.1.4.0
2025/01/15 (09:56:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:42:54) | ===> btop++ v.1.4.0
2025/01/17 (12:42:54) | WARNING: Intel GPU: Failed to initialize PMU
